City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vaini,25,TO,1579991702,87,-21.2,-175.2,78.55,19.64
punta arenas,9,PH,1579991811,85,8.99,125.34,77.97,4.94
cruzilia,5,BR,1579991811,92,-21.84,-44.81,63.36,3.65
mahibadhoo,100,MV,1579991812,79,3.78,72.97,80.82,13.89
mys shmidta,100,RU,1579991812,96,62.06,48.62,4.1,3.89
castro,9,BR,1579991703,72,-24.79,-50.01,65.7,3.38
lebu,0,CL,1579991812,69,-37.62,-73.65,64.08,10.94
butaritari,12,KI,1579991812,72,3.07,172.79,85.03,10.56
rikitea,18,PF,1579991812,77,-23.12,-134.97,79.25,14.03
turangi,0,NZ,1579991812,51,-39.0,175.93,81.0,4.0
norman wells,32,US,1579991517,45,35.22,-97.44,63.0,10.29
ushuaia,100,AR,1579991638,82,-54.8,-68.3,40.06,5.44
san cristobal,64,ML,1579991812,9,13.3,-4.9,74.7,10.31
san luis,64,ML,1579991743,9,13.3,-4.9,74.7,10.31
saint-philippe,79,RE,1579991812,77,-21.36,55.77,72.0,17.31
mugumu,100,TZ,1579991813,92,-1.85,34.7,65.12,2.37
port alfred,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
dikson,100,RU,1579991813,96,73.51,80.55,-7.82,7.07
naryan-mar,99,RU,1579991813,100,67.67,53.09,-8.81,5.91
ogembo,100,KE,1579991813,97,-0.8,34.73,63.54,6.04
port hedland,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
thompson,100,CA,1579991813,96,55.74,-97.86,17.17,3.69
provideniya,0,RU,1579991718,68,64.38,-173.3,-4.65,3.67
sukhumi,4,GE,1579991813,51,43.0,41.02,36.82,3.58
airai,100,TL,1579991526,76,-8.93,125.41,76.33,1.03
arraial do cabo,44,BR,1579991813,61,-22.84,-46.65,77.0,1.99
esperance,86,AU,1579991644,80,-33.87,121.9,66.4,3.38
kaitangata,66,NZ,1579991736,80,-46.28,169.85,58.48,10.56
ponta do sol,100,PT,1579991814,73,38.73,-28.27,54.72,5.19
ribeira grande,10,ES,1579991814,96,42.75,-8.44,51.01,1.99
hermanus,46,ZA,1579991814,76,-34.42,19.23,66.0,11.01
bredasdorp,31,ZA,1579991814,68,-34.53,20.04,66.2,21.92
verkh-usugli,18,RU,1579991814,91,52.7,115.17,-3.55,0.63
mahebourg,75,MU,1579991814,83,-20.41,57.7,77.0,11.41
severo-kurilsk,100,RU,1579991814,92,50.68,156.12,18.72,43.49
mataura,73,NZ,1579991815,66,-46.19,168.86,69.01,4.0
haines junction,90,US,1579991815,67,59.23,-135.44,21.2,23.04
port hardy,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
praia,75,CV,1579991815,72,14.92,-23.51,71.33,13.09
ancud,100,CL,1579991815,95,-41.87,-73.82,58.95,7.4
albany,100,US,1579991550,89,42.6,-73.97,39.99,3.69
upernavik,78,GL,1579991760,95,72.79,-56.15,-13.83,6.85
necocli,100,CO,1579991815,83,8.42,-76.79,79.74,18.61
ambulu,80,ID,1579991815,74,-8.35,113.61,82.49,5.23
